2.5,8.4,0.4,2.2,1
2.4,9.1,0.7,2.2,1
2.5,8.9,0.1,2.3,1
2.5,8.3,1.7,2.2,0
2.5,8.5,1.1,2.3,0
2.5,8.3,0.5,2.2,1
2.5,8.4,0.6,2.2,1
2.5,7.7,0,2,0
2.4,7.7,0.5,2,0
2.3,8.1,0.8,2,0
2.2,8.8,1.1,2,1
2.3,8.5,1.8,2,0
2.4,7.1,2.3,1.8,0
2.4,7.1,2,1.8,0
2.4,7.7,1.6,2,0
2.2,8.4,0.8,1.9,0
2.2,7.9,0.5,1.8,1
2.4,8,0.9,2,0
2.2,8.5,1,2,1
2,7.5,1.8,1.5,0
1.8,7,1.2,1.2,0
1.9,7.5,0.8,1.4,0
2.4,8.6,1.7,2.2,0
2.3,8,1.5,1.9,0
2.2,8,0.7,1.8,0
2.3,8.3,0.7,1.9,0
2.1,8.2,1.1,1.8,0
2.1,7.6,0.5,1.6,0
2.2,8.2,0.7,1.8,0
2.2,8.1,0.5,1.8,0
